bird_id,ring_number,species,municipality,location,tag_year,sex,mol_sex,tarsus_sex,sex_compiled,age,hatch_year,hatching_date,manufacturer,transm_gsm,transm_uhf,transm_color,nest_of_origin_ID,comments
397,M039208,Milvus milvus,Bruenisried,Brueggla,2017,unknown,f,NA,f,1CY,2017,05.05.2017,ecotone,SWIK01,SIU08,brown,349,NA
85,M023919,Milvus milvus,Guggisberg,Willmesacher,2016,unknown,m,NA,m,1CY,2016,13.05.2016,ecotone,SWIK01,SIU08,brown,90,NA
70,M023955,Milvus milvus,Onnens,16,2016,unknown,f,NA,f,1CY,2016,18.05.2016,ecotone,SWIK98,WIS01,brown,178,NA
128,M023933,Milvus milvus,Guggisberg,Brannele,2016,unknown,m,NA,m,1CY,2016,16.05.2016,ecotone,SWIK02,SIU09,brown,208,NA
95,M036559,Milvus milvus,Alterswil,aeschlenberg 16,2016,unknown,m,NA,m,1CY,2016,10.05.2016,ecotone,WSIK50,SIW22,brown,200,NA
94,M036558,Milvus milvus,Alterswil,aeschlenberg 16,2016,unknown,f,NA,f,1CY,2016,14.05.2016,ecotone,WSIK52,SIW24,brown,200,NA
171,M023886,Milvus milvus,Corserey,North_Corserey,2015,unknown,f,NA,f,1CY,2015,15.05.2015,ecotone,SWIK03,MLR16,red,70,"2022: badly tramitting /ghost , last uhf contact 21.04.2022"
175,M023890,Milvus milvus,Ueberstorf,Niedermettlen,2015,unknown,f,NA,f,1CY,2015,16.05.2015,ecotone,SWIK14,MLR20,red,5,NA
9,M035177,Milvus milvus,Schmitten,Fillistorf,2016,m,m,NA,m,3CY+,unknown,NA,ecotone,SWIK81,SWI14,brown,unknown,NA
173,M023888,Milvus milvus,Ueberstorf,Lenglod,2015,unknown,f,NA,f,1CY,2015,27.05.2015,ecotone,SWIK05,MLR12,red,4,NA
11,M035179,Milvus milvus,St. Antoni,Baechlisbrunnen,2016,f,f,NA,f,3CY+,unknown,NA,ecotone,SWIK62,SIU23,blue,unknown,NA
755,M039685,Milvus milvus,Wahlern,Althaus_18,2019,unknown,m,NA,m,1CY,2019,25.04.2019,milsar,78309F1C,1225,NA,476,NA
315,M039013,Milvus milvus,Riffenmatt,Chrache,2017,unknown,f,NA,f,1CY,2017,30.04.2017,ecotone,SWIK05,SIU12,brown,288,NA
756,R7456,Milvus milvus,Wahlern,Althaus_18,2019,unknown,f,NA,f,1CY,2019,25.04.2019,milsar,AA329F1C,1249,NA,476,Ring changed from M039686 to R7456 because it had been too small
1060,M068112,Milvus milvus,Ursy,Au Cuard,2021,unknown,m,NA,m,1CY,2021,17.05.2021,milsar,276AFE12,5018,NA,676,NA
1034,M068116,Milvus milvus,St. Antoni,Bachmattholz,2021,unknown,m,NA,m,1CY,2021,19.05.2021,milsar,94392D10,5047,NA,559,NA
1035,M068117,Milvus milvus,St. Antoni,Bachmattholz,2021,unknown,m,NA,m,1CY,2021,19.05.2021,milsar,90D0D910,5045,NA,559,NA
1162,M068148,Milvus milvus,St. Antoni,Bachmattholz,2022,unknown,m,NA,m,1CY,2022,13.05.2022,milsar,EAF0A215,3029,NA,559,NA
92,M023958,Milvus milvus,St. Antoni,Baechlisbrunnen 16,2016,unknown,f,NA,f,1CY,2016,12.05.2016,ecotone,SWIK91,SWI24,brown,215,NA
93,M023959,Milvus milvus,St. Antoni,Baechlisbrunnen 16,2016,unknown,f,NA,f,1CY,2016,13.05.2016,ecotone,WSIK45,SIW17,brown,215,NA
