bird_id,father,mother
397,NA,NA
85,NA,NA
70,NA,NA
128,NA,NA
95,NA,NA
94,NA,NA
171,NA,NA
175,NA,NA
9,NA,NA
173,NA,NA
11,NA,NA
755,NA,NA
315,NA,NA
756,NA,NA
1060,NA,142
1034,391,NA
1035,391,NA
1162,391,NA
92,NA,11
93,NA,11
306,442,11
305,442,11
710,NA,NA
519,442,11
914,442,11
102,NA,NA
135,NA,NA
170,NA,NA
76,NA,NA
830,116,NA
922,116,NA
1168,116,NA
1169,116,NA
89,NA,NA
263,NA,NA
264,NA,NA
265,NA,NA
161,NA,NA
84,77,NA
83,77,NA
321,77,NA
320,77,NA
322,77,NA
44,NA,28
528,77,NA
127,NA,NA
144,NA,NA
416,NA,455
417,NA,455
50,NA,NA
51,NA,NA
399,NA,NA
158,NA,NA
398,NA,NA
36,NA,NA
704,NA,NA
1070,NA,124
1185,NA,124
1170,NA,446
1171,NA,446
109,NA,NA
145,NA,NA
63,NA,NA
129,NA,NA
65,NA,NA
66,NA,NA
502,445,446
500,445,446
501,445,446
935,445,446
936,445,446
326,445,446
327,445,446
328,445,446
882,NA,NA
949,NA,NA
142,NA,NA
950,NA,NA
1132,54,NA
80,NA,NA
81,NA,NA
1133,54,NA
1218,54,NA
1219,54,NA
1114,NA,330
162,NA,NA
337,NA,448
339,NA,448
33,101,NA
907,NA,NA
411,101,NA
412,101,NA
437,NA,NA
98,NA,NA
436,NA,NA
438,NA,NA
373,NA,NA
374,NA,NA
149,NA,NA
100,NA,NA
168,NA,NA
355,NA,NA
103,NA,NA
354,NA,NA
356,NA,NA
933,NA,NA
238,NA,NA
164,NA,NA
137,NA,NA
316,NA,NA
167,NA,NA
375,NA,NA
155,NA,NA
376,NA,NA
68,NA,NA
69,NA,NA
805,6,NA
377,NA,NA
906,6,NA
1159,6,NA
1160,6,NA
1135,NA,15
163,NA,NA
1136,NA,15
1137,NA,15
121,125,NA
148,NA,NA
130,NA,NA
271,125,NA
272,125,NA
746,NA,NA
331,NA,NA
252,NA,NA
136,NA,NA
253,NA,NA
190,NA,NA
191,NA,NA
708,NA,NA
156,NA,NA
147,NA,NA
254,NA,NA
55,NA,NA
255,NA,NA
256,NA,NA
487,NA,NA
486,NA,NA
485,NA,NA
38,9,8
39,9,8
287,NA,NA
288,NA,NA
289,NA,NA
876,NA,NA
113,NA,NA
114,NA,NA
7,NA,NA
403,NA,NA
402,NA,NA
401,NA,NA
