ID,nest_name,nest_status,tree_species,country,canton,elev_swiss_maps,coordX,coordY,municipality,location
1,Liebistorf_Allmend,nest gone,Pinus sylvestris (Scots pine),Switzerland,FR,526.9,7.192582184,46.91631911,Liebistorf,Allmend
2,Gurmels_Kleinbösingen,nest gone,Pinus sylvestris (Scots pine),Switzerland,FR,547.7,7.202359535,46.8961364,Gurmels,Kleinbösingen
3,Bösingen_Noflenau,nest gone,Fagus sylvatica (Beech),Switzerland,FR,525.9,7.263064147,46.89249516,Bösingen,Noflenau
4,Ueberstorf_Lenglod,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,629.6,7.342329865,46.87976277,Ueberstorf,Lenglod
5,Ueberstorf_Niedermettlen,nest gone,Fagus sylvatica (Beech),Switzerland,FR,647.5,7.320410929,46.87275269,Ueberstorf,Niedermettlen
6,Ueberstorf_Banholz 15,nest gone,Fagus sylvatica (Beech),Switzerland,FR,650.2,7.296879163,46.86776033,Ueberstorf,Banholz 
7,Ueberstorf_Ledeu beech,present,Fagus sylvatica (Beech),Switzerland,FR,661.6,7.299341213,46.85912787,Ueberstorf,Ledeu
8,Schmitten_Bunziwil 15,nest gone,Fagus sylvatica (Beech),Switzerland,FR,623.8,7.264549152,46.85554473,Schmitten,Bunziwil 
9,Schmitten_Rütihubel,nest gone,Fagus sylvatica (Beech),Switzerland,FR,682,7.216437101,46.85264537,Schmitten,Rütihubel
10,Ueberstorf_Summerau edge,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,765.2,7.330223762,46.85275693,Ueberstorf,Summerau
11,Ueberstorf_Mischlere,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,689.3,7.300774342,46.85259902,Ueberstorf,Mischlere
12,Ueberstorf_Summerau center,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,757.8,7.330222749,46.85237892,Ueberstorf,Summerau 
13,Schmitten_Ettelberg,nest gone,Fagus sylvatica (Beech),Switzerland,FR,673.7,7.265470472,46.85043678,Schmitten,Ettelberg
14,Heitenried_Breitenried,nest gone,Fagus sylvatica (Beech),Switzerland,FR,686.4,7.289220257,46.84874339,Heitenried,Breitenried
15,Schmitten_Lanthenholz,tree gone,Fagus sylvatica (Beech),Switzerland,FR,689.8,7.244464196,46.84362935,Schmitten,Lanthenholz
16,Lossy_Lossy,NA,Picea abies (Norwegian Spruce),Switzerland,FR,658.3,7.107634779,46.83950872,Lossy,Lossy
17,St. Antoni_Menzishus,nest gone,Abies alba (Silver fir),Switzerland,FR,686.5,7.269676175,46.83481819,St. Antoni,Menzishus
18,Düdingen_Horia edge,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,643.2,7.20746787,46.83453783,Düdingen,Horia
19,Düdingen_Horia center,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,647.5,7.207116219,46.83401538,Düdingen,Horia 
20,Düdingen_St. Wolfgangholz spruce,nest gone,Abies alba (Silver fir),Switzerland,FR,622.1,7.18175413,46.83378105,Düdingen,St. Wolfgangholz spruce
21,Tafers_Angstorfwäldli,nest gone,Quercus robur (English Oak),Switzerland,FR,668.1,7.219761024,46.83179157,Tafers,Angstorfwäldli
22,St. Antoni_Lehwil pinus,nest gone,Pinus sylvestris (Scots pine),Switzerland,FR,710.9,7.281206641,46.8318483,St. Antoni,Lehwil 
23,St. Antoni_Lehwil beech,present,Fagus sylvatica (Beech),Switzerland,FR,698.3,7.280897432,46.83003081,St. Antoni,Lehwil
24,St. Antoni_Lehwil picea,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,699.2,7.281383406,46.82968067,St. Antoni,Lehwil
25,Düdingen_Kastels beech,nest gone,Fagus sylvatica (Beech),Switzerland,FR,642.6,7.176293607,46.82465627,Düdingen,Kastels 
26,Düdingen_Kastels prunus,nest gone,Prunus (Cherry/Apple),Switzerland,FR,648.6,7.176321754,46.82426053,Düdingen,Kastels 
27,Heitenried_Winterlingen,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,745.4,7.292121745,46.82339828,Heitenried,Winterlingen
28,St. Antoni_Bächlisbrunnen,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,785.8,7.265794971,46.8189895,St. Antoni,Bächlisbrunnen
29,Tafers_Chly Maggenberg,tree gone,Acer sp (maple),Switzerland,FR,673.2,7.208242211,46.81296846,Tafers,Chly Maggenberg
30,St. Antoni_ Sellenried,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,764.4,7.261675148,46.81263242,St. Antoni,Sellenried
31,St. Antoni_Obermonten,present,Prunus (Cherry/Apple),Switzerland,FR,807.3,7.276178612,46.80859718,St. Antoni,Obermonten
32,Alterswil_Seliholz,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,761.9,7.251087016,46.80929614,Alterswil,Seliholz
33,Alterswil_Beniwil,active,Abies alba (Silver fir),Switzerland,FR,759.9,7.259446381,46.80129473,Alterswil,Beniwil
34,Alterswil_Tolgli,present,Abies alba (Silver fir),Switzerland,FR,749.3,7.250110782,46.80003825,Alterswil,Tolgli
35,Alterswil_Ober Geriwil,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,824.2,7.272908022,46.79859857,Alterswil,Ober Geriwil
36,Alterswil_Weiermattenmoos,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,804,7.284054734,46.79423353,Alterswil,Weiermattenmoos
37,Alterswil_Wolgiswil_S,present,Fagus sylvatica (Beech),Switzerland,FR,734,7.238017135,46.7938377,Alterswil,Wolgiswil
38,Alterswil_Äschlenberg,nest gone,Fagus sylvatica (Beech),Switzerland,FR,759.7,7.262018856,46.78787761,Alterswil,Äschlenberg
39,Alterswil_Chleholz larch,nest gone,Larix decidua (larch),Switzerland,FR,880.8,7.289738155,46.78520075,Alterswil,Chleholz
40,St. Ursen_Plentsch,nest gone,Fagus sylvatica (Beech),Switzerland,FR,734.2,7.213939848,46.77904913,St. Ursen,Plentsch
41,Alterswil_Baletswil,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,774.6,7.244908423,46.7788363,Alterswil,Baletswil
42,St. Ursen_Röschiwil,nest gone,Fagus sylvatica (Beech),Switzerland,FR,773.1,7.218408024,46.77511788,St. Ursen,Röschiwil
43,Tentlingen_Vieille Rossmatta,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,697.6,7.182436467,46.76780115,Tentlingen,Vieille Rossmatta
44,Brünisried_Holzgasse,nest gone,Abies alba (Silver fir),Switzerland,FR,877.7,7.276593841,46.76665216,Brünisried,Holzgasse
45,Zumholz_Brand street,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,812,7.290661755,46.75902527,Zumholz,Brand
46,St. Sylvester_Unterbuech,nest gone,Fagus sylvatica (Beech),Switzerland,FR,746.3,7.202084961,46.75337004,St. Sylvester,Unterbuech
47,Giffers_Moosmatta,nest gone,Fagus sylvatica (Beech),Switzerland,FR,849.9,7.237812058,46.75069521,Giffers,Moosmatta
48,St. Sylvester_Tschüpru,nest gone,Fagus sylvatica (Beech),Switzerland,FR,767.1,7.215180907,46.74831411,St. Sylvester,Tschüpru
49,Vuippens_Vuippens,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,693.8,7.07802079,46.65626092,Vuippens,Vuippens
50,Echarlens_Stande_de_tir,nest gone,Fagus sylvatica (Beech),Switzerland,FR,725.1,7.089780367,46.64191367,Echarlens,Stande
51,Bas-Intyamon_Grandvillard,NA,Picea abies (Norwegian Spruce),Switzerland,FR,752.6,7.09652443,46.54662533,Bas-Intyamon,Grandvillard
52,Haute-Intyamon_Lessoc,nest gone,Picea abies (Norwegian Spruce),Switzerland,FR,804.4,7.050919195,46.50644761,Haute-Intyamon,Lessoc
53,Englisberg_Lower,nest gone,Fraxinus sp (Ash),Switzerland,BE,634.7,7.477285974,46.90429201,Englisberg,Lower
54,Englisberg_Upper,nest gone,Fraxinus sp (Ash),Switzerland,BE,636.7,7.477377733,46.90413006,Englisberg,Upper
55,Niedermuhlern_Schür pinus,nest gone,Pinus sylvestris (Scots pine),Switzerland,BE,863.1,7.464053075,46.86840449,Niedermuhlern,Schür
56,Gerzensee_Rüti,NA,Fagus sylvatica (Beech),Switzerland,BE,674.8,7.54743661,46.85157097,Gerzensee,Rüti
57,Gerzensee_Lake,NA,Betula (Birch),Switzerland,BE,603.1,7.549057612,46.82985469,Gerzensee,Lake
58,Buchholterberg_Badhaus,tree gone,Abies alba (Silver fir),Switzerland,BE,857,7.691893907,46.82167657,Buchholterberg,Badhaus
59,Kirchdorf_Tree nursery,NA,Picea abies (Norwegian Spruce),Switzerland,BE,594.8,7.54807446,46.81027272,Kirchdorf,Tree nursery
60,Steffisburg_Siechenboden lower,tree gone,Picea abies (Norwegian Spruce),Switzerland,BE,633.3,7.615674291,46.78460556,Steffisburg,Siechenboden lower
61,Steffisburg_Siechenboden upper,tree gone,Picea abies (Norwegian Spruce),Switzerland,BE,633.7,7.615713224,46.78449755,Steffisburg,Siechenboden upper
62,Horrenbach-Buchen_Rüttegg,NA,Picea abies (Norwegian Spruce),Switzerland,BE,983.7,7.765506518,46.7833765,Horrenbach-Buchen,Rüttegg
63,Uetendorf_Eichberg,nest gone,Fraxinus sp (Ash),Switzerland,BE,574,7.563366817,46.78291117,Uetendorf,Eichberg
64,Kalchstätten_Herrenmatt,nest gone,Picea abies (Norwegian Spruce),Switzerland,BE,818.7,7.300320919,46.76438076,Kalchstätten,Herrenmatt
65,Frutigen_Frutigen,NA,Picea abies (Norwegian Spruce),Switzerland,BE,836.4,7.639136276,46.57820968,Frutigen,Frutigen
